task_id	process	hash	name	status	start	complete	duration	%cpu	cpus	memory
137	trimProcess	83/99e153	trimProcess (34)	COMPLETED	2025-09-10 15:58:56.691	2025-09-10 15:59:01.207	4.6s	100.4%	8	12 GB
140	fastqcRaw	d5/fd842f	fastqcRaw (35)	COMPLETED	2025-09-10 15:58:58.142	2025-09-10 15:59:02.898	4.9s	142.7%	8	12 GB
139	trimProcess	91/992665	trimProcess (35)	COMPLETED	2025-09-10 15:59:01.307	2025-09-10 15:59:05.378	4.2s	100.5%	8	12 GB
142	fastqcRaw	ac/71eaf7	fastqcRaw (36)	COMPLETED	2025-09-10 15:59:02.998	2025-09-10 15:59:07.771	4.9s	145.2%	8	12 GB
141	trimProcess	24/2739dc	trimProcess (36)	COMPLETED	2025-09-10 15:59:05.478	2025-09-10 15:59:09.067	3.7s	100.5%	8	12 GB
144	fastqcRaw	ff/247831	fastqcRaw (37)	COMPLETED	2025-09-10 15:59:07.872	2025-09-10 15:59:12.636	4.9s	145.1%	8	12 GB
143	trimProcess	98/21fe54	trimProcess (37)	COMPLETED	2025-09-10 15:59:09.168	2025-09-10 15:59:13.250	4.2s	100.3%	8	12 GB
145	trimProcess	6a/a40c69	trimProcess (38)	COMPLETED	2025-09-10 15:59:13.350	2025-09-10 15:59:17.437	4.2s	100.4%	8	12 GB
146	fastqcRaw	30/2d58c4	fastqcRaw (38)	COMPLETED	2025-09-10 15:59:12.736	2025-09-10 15:59:17.554	4.9s	144.0%	8	12 GB
147	trimProcess	02/58b0e7	trimProcess (39)	COMPLETED	2025-09-10 15:59:17.537	2025-09-10 15:59:22.019	4.6s	100.5%	8	12 GB
148	fastqcRaw	a9/c515d0	fastqcRaw (39)	COMPLETED	2025-09-10 15:59:17.654	2025-09-10 15:59:22.430	4.9s	148.8%	8	12 GB
149	trimProcess	3b/0ff766	trimProcess (40)	COMPLETED	2025-09-10 15:59:22.531	2025-09-10 15:59:26.427	4s	100.4%	8	12 GB
150	fastqcRaw	5c/7932d0	fastqcRaw (40)	COMPLETED	2025-09-10 15:59:22.119	2025-09-10 15:59:26.888	4.9s	141.6%	8	12 GB
151	fastqcRaw	ac/0fb49d	fastqcRaw (41)	COMPLETED	2025-09-10 15:59:26.527	2025-09-10 15:59:31.293	4.9s	143.7%	8	12 GB
152	trimProcess	4c/c407f4	trimProcess (41)	COMPLETED	2025-09-10 15:59:26.988	2025-09-10 15:59:31.767	4.9s	100.5%	8	12 GB
154	trimProcess	aa/1a936a	trimProcess (42)	COMPLETED	2025-09-10 15:59:31.867	2025-09-10 15:59:35.576	3.8s	100.5%	8	12 GB
153	fastqcRaw	de/e31637	fastqcRaw (42)	COMPLETED	2025-09-10 15:59:31.394	2025-09-10 15:59:36.165	4.9s	145.3%	8	12 GB
155	trimProcess	07/667fe7	trimProcess (43)	COMPLETED	2025-09-10 15:59:36.266	2025-09-10 15:59:40.008	3.8s	100.3%	8	12 GB
156	fastqcRaw	fb/83a3a6	fastqcRaw (43)	COMPLETED	2025-09-10 15:59:35.677	2025-09-10 15:59:40.449	4.9s	148.1%	8	12 GB
157	trimProcess	27/921a02	trimProcess (44)	COMPLETED	2025-09-10 15:59:40.549	2025-09-10 15:59:44.670	4.2s	100.5%	8	12 GB
158	fastqcRaw	97/447e91	fastqcRaw (44)	COMPLETED	2025-09-10 15:59:40.109	2025-09-10 15:59:44.877	4.9s	149.5%	8	12 GB
159	trimProcess	74/9437f4	trimProcess (45)	COMPLETED	2025-09-10 15:59:44.771	2025-09-10 15:59:49.698	5s	100.3%	8	12 GB
160	fastqcRaw	f1/36e228	fastqcRaw (45)	COMPLETED	2025-09-10 15:59:44.977	2025-09-10 15:59:49.752	4.9s	157.6%	8	12 GB
161	fastqcRaw	84/92bcbe	fastqcRaw (46)	COMPLETED	2025-09-10 15:59:49.752	2025-09-10 15:59:54.575	4.9s	158.5%	8	12 GB
162	trimProcess	93/5739df	trimProcess (46)	COMPLETED	2025-09-10 15:59:49.852	2025-09-10 15:59:54.759	5s	100.4%	8	12 GB
163	trimProcess	8c/726c1b	trimProcess (47)	COMPLETED	2025-09-10 15:59:54.859	2025-09-10 15:59:59.204	4.4s	100.5%	8	12 GB
164	fastqcRaw	c2/74cf88	fastqcRaw (47)	COMPLETED	2025-09-10 15:59:54.675	2025-09-10 15:59:59.447	4.9s	145.3%	8	12 GB
166	fastqcRaw	86/8a069f	fastqcRaw (48)	COMPLETED	2025-09-10 15:59:59.304	2025-09-10 16:00:04.080	4.9s	152.9%	8	12 GB
165	trimProcess	d8/3784dd	trimProcess (48)	COMPLETED	2025-09-10 15:59:59.547	2025-09-10 16:00:04.346	4.9s	100.5%	8	12 GB
